monthdate,report_code,avgTone,numreport
201604.0,US,-0.699708738,469226
201604.0,VM,-0.556310536,28360
201605.0,AS,-0.919014367,78500
201605.0,BX,-0.526739936,1259
201605.0,CA,-0.60405328,128770
201605.0,CH,-0.376968087,242279
201605.0,CI,-0.933017156,58430
201605.0,HK,-0.317174182,11433
201605.0,ID,-2.757090975,25725
201605.0,JA,-0.638005627,190760
201605.0,KS,-0.055831894,60754
201605.0,MX,-0.901957297,103368
201605.0,MY,-1.556007653,28670
201605.0,NZ,-0.079545677,22066
201605.0,PE,-1.018388253,21571
201605.0,PP,-2.541355914,4569
201605.0,RP,-2.480720758,31405
201605.0,RS,-1.512306103,427710
201605.0,SN,-0.203563886,11677
201605.0,TH,-0.591230128,55120
201605.0,TW,-0.198485145,47963
201605.0,US,-0.769672535,505321
201605.0,VM,-0.56295384,45274
201606.0,AS,-0.836293141,63593
201606.0,BX,-0.34920351,1046
201606.0,CA,-0.107712219,99949
201606.0,CH,-0.603191693,241197
201606.0,CI,-0.422708882,80018
201606.0,HK,-0.628835504,11966
201606.0,ID,-2.277549252,25702
201606.0,JA,-0.778894198,173304
201606.0,KS,-0.153110302,58328
201606.0,MX,-1.328746239,111232
201606.0,MY,-2.025780688,25996
201606.0,NZ,-0.160319267,19954
201606.0,PE,-0.766403303,36456
201606.0,PP,-3.953458053,4585
201606.0,RP,-2.433969508,25804
201606.0,RS,-1.647887097,470110
201606.0,SN,-0.29826439,12260
201606.0,TH,-0.612240952,50404
201606.0,TW,-0.214054394,43872
201606.0,US,-1.337112194,576209
201606.0,VM,-0.372550778,38501
201607.0,AS,-0.560104267,73814
201607.0,BX,-0.709708562,2006
201607.0,CA,-0.135779004,90946
201607.0,CH,-0.859802258,233744
201607.0,CI,-0.436331063,56496
201607.0,HK,-0.847012839,11850
201607.0,ID,-2.490323056,21012
201607.0,JA,-0.728477073,189143
201607.0,KS,-0.276574392,61317
201607.0,MX,-1.024014857,91914
201607.0,MY,-1.673883735,28542
201607.0,NZ,-0.392115019,26138
201607.0,PE,-0.906056571,23088
201607.0,PP,-1.015535412,2618
201607.0,RP,-2.02709867,29587
201607.0,RS,-1.646377478,461234
201607.0,SN,-0.299676809,10528
201607.0,TH,-0.369554749,48168
201607.0,TW,-0.868612985,52145
201607.0,US,-1.342408215,559541
201607.0,VM,-0.512342363,33301
201608.0,AS,-0.721868741,81546
201608.0,BX,-0.068879939,1105
201608.0,CA,-0.350425045,107467
201608.0,CH,-0.406637608,249900
201608.0,CI,-0.204702727,54625
201608.0,HK,-0.732954244,12463
201608.0,ID,-2.085291874,26787
201608.0,JA,-0.321039288,227892
201608.0,KS,-0.467551667,68286
201608.0,MX,-1.464258437,115116
201608.0,MY,-1.485890474,28396
201608.0,NZ,-0.168710145,29213
201608.0,PE,-1.334626395,25030
201608.0,PP,-3.288037602,4651
201608.0,RP,-3.133287162,33125
201608.0,RS,-1.578804301,539650
201608.0,SN,-0.087062834,14955
201608.0,TH,-1.679143154,73076
201608.0,TW,-0.173511596,43659
201608.0,US,-1.09273988,538902
201608.0,VM,-0.477003,34066
201609.0,AS,-0.7145857,64715
201609.0,BX,-0.614020725,1233
201609.0,CA,0.196944576,110263
201609.0,CH,-0.49011815,240394
